level_0,index,2023-10-31 00:00:00,2022-10-31 00:00:00,2021-10-31 00:00:00,2020-10-31 00:00:00
0,Free Cash Flow,17633000000.0,16312000000.0,13321000000.0,11598000000.0
1,Repurchase Of Capital Stock,-7685000000.0,-8455000000.0,-1299000000.0,-765000000.0
2,Repayment Of Debt,-403000000.0,-2361000000.0,-11495000000.0,-20099000000.0
3,Issuance Of Debt,0.0,1935000000.0,9904000000.0,27802000000.0
4,Issuance Of Capital Stock,122000000.0,114000000.0,170000000.0,276000000.0
5,Capital Expenditure,-452000000.0,-424000000.0,-443000000.0,-463000000.0
6,Interest Paid Supplemental Data,1503000000.0,1386000000.0,1565000000.0,1408000000.0
7,Income Tax Paid Supplemental Data,1782000000.0,908000000.0,775000000.0,501000000.0
8,End Cash Position,14189000000.0,12416000000.0,12163000000.0,7618000000.0
9,Beginning Cash Position,12416000000.0,12163000000.0,7618000000.0,5055000000.0
10,Changes In Cash,1773000000.0,253000000.0,4545000000.0,2563000000.0
11,Financing Cash Flow,-15623000000.0,-15816000000.0,-8974000000.0,1611000000.0
12,Cash Flow From Continuing Financing Activities,-15623000000.0,-15816000000.0,-8974000000.0,1611000000.0
13,Net Other Financing Charges,-12000000.0,-17000000.0,-42000000.0,-69000000.0
14,Cash Dividends Paid,-7645000000.0,-7032000000.0,-6212000000.0,-5534000000.0
15,Common Stock Dividend Paid,,,,-5534000000.0
16,Net Preferred Stock Issuance,,,0.0,0.0
17,Preferred Stock Issuance,,,0.0,0.0
18,Net Common Stock Issuance,-7563000000.0,-8341000000.0,-1129000000.0,-489000000.0
19,Common Stock Payments,-7685000000.0,-8455000000.0,-1299000000.0,-765000000.0
20,Common Stock Issuance,122000000.0,114000000.0,170000000.0,276000000.0
21,Net Issuance Payments Of Debt,-403000000.0,-426000000.0,-1591000000.0,7703000000.0
22,Net Long Term Debt Issuance,-403000000.0,-426000000.0,-1591000000.0,7703000000.0
23,Long Term Debt Payments,-403000000.0,-2361000000.0,-11495000000.0,-20099000000.0
24,Long Term Debt Issuance,0.0,1935000000.0,9904000000.0,27802000000.0
25,Investing Cash Flow,-689000000.0,-667000000.0,-245000000.0,-11109000000.0
26,Cash Flow From Continuing Investing Activities,-689000000.0,-667000000.0,-245000000.0,-11109000000.0
27,Net Other Investing Changes,-66000000.0,3000000.0,-8000000.0,8000000.0
28,Net Investment Purchase And Sale,-118000000.0,0.0,169000000.0,0.0
29,Sale Of Investment,228000000.0,200000000.0,169000000.0,0.0
30,Purchase Of Investment,-346000000.0,-200000000.0,0.0,0.0
31,Net Business Purchase And Sale,-53000000.0,-246000000.0,37000000.0,-10654000000.0
32,Sale Of Business,0.0,0.0,45000000.0,218000000.0
33,Purchase Of Business,-53000000.0,-246000000.0,-8000000.0,-10872000000.0
34,Net PPE Purchase And Sale,-452000000.0,-424000000.0,-443000000.0,-463000000.0
35,Sale Of PPE,,,4000000.0,12000000.0
36,Purchase Of PPE,-452000000.0,-424000000.0,-443000000.0,-463000000.0
37,Operating Cash Flow,18085000000.0,16736000000.0,13764000000.0,12061000000.0
38,Cash Flow From Continuing Operating Activities,18085000000.0,16736000000.0,13764000000.0,12061000000.0
39,Change In Working Capital,-1643000000.0,-1654000000.0,-127000000.0,1093000000.0
40,Change In Other Working Capital,-1692000000.0,-78000000.0,-286000000.0,146000000.0
41,Change In Payables And Accrued Expense,209000000.0,-79000000.0,243000000.0,-3000000.0
42,Change In Payable,209000000.0,-79000000.0,243000000.0,-3000000.0
43,Change In Account Payable,209000000.0,-79000000.0,243000000.0,-3000000.0
44,Change In Inventory,27000000.0,-627000000.0,-294000000.0,-31000000.0
45,Change In Receivables,-187000000.0,-870000000.0,210000000.0,981000000.0
46,Changes In Account Receivables,-187000000.0,-870000000.0,210000000.0,981000000.0
47,Other Non Cash Items,141000000.0,312000000.0,21000000.0,100000000.0
48,Stock Based Compensation,2171000000.0,1533000000.0,1704000000.0,1976000000.0
49,Asset Impairment Charge,,,,0.0
50,Deferred Tax,-501000000.0,-34000000.0,-809000000.0,-1142000000.0
51,Deferred Income Tax,-501000000.0,-34000000.0,-809000000.0,-1142000000.0
52,Depreciation Amortization Depletion,3835000000.0,4984000000.0,6041000000.0,6905000000.0
53,Depreciation And Amortization,3835000000.0,4984000000.0,6041000000.0,6905000000.0
54,Amortization Cash Flow,3333000000.0,4455000000.0,5502000000.0,6335000000.0
55,Amortization Of Intangibles,3333000000.0,4455000000.0,5502000000.0,6335000000.0
56,Depreciation,502000000.0,529000000.0,539000000.0,570000000.0
57,Operating Gains Losses,,100000000.0,198000000.0,169000000.0
58,Net Income From Continuing Operations,14082000000.0,11495000000.0,6736000000.0,2960000000.0
